OrderID,OrderDate,CustomerID,ProductID,Quantity,DiscountPercent,ShippingCost,PaymentMethod,PaymentStatus,ReturnStatus,DeliveryDays
1,28-02-2024,3717,616,4,15,332,UPI,Completed,Yes,9
2,20-01-2023,1443,1201,5,20,363,Debit Card,Completed,No,2
3,25-09-2024,1654,653,4,30,410,Debit Card,Completed,No,8
4,03-08-2022,2503,1408,4,15,96,Credit Card,Completed,No,2
5,29-11-2023,3270,298,2,0,240,Debit Card,Completed,No,8
6,04-03-2023,282,1290,3,15,491,Net Banking,Completed,No,5
7,16-12-2024,4982,1178,3,20,123,Credit Card,Completed,No,2
8,18-11-2024,1025,794,5,30,325,Credit Card,Completed,No,11
9,04-10-2023,4819,725,4,25,154,COD,Failed,No,8
10,01-10-2023,3404,919,3,0,221,Debit Card,Completed,No,1
11,18-07-2024,1236,940,5,20,313,Net Banking,Completed,No,9
12,12-11-2022,4183,1100,4,5,69,UPI,Completed,No,8
13,30-10-2024,4761,1195,1,30,102,Credit Card,Completed,No,1
14,05-08-2022,4958,760,5,20,112,Credit Card,Completed,No,6
15,24-09-2022,786,826,3,0,326,Net Banking,Completed,Yes,6
16,25-03-2023,3318,844,4,15,208,Net Banking,Completed,Yes,4
17,15-01-2024,1668,100,5,20,319,UPI,Completed,No,4
18,29-02-2024,3009,274,2,15,112,Net Banking,Completed,No,2
19,15-07-2024,3195,298,5,0,179,COD,Completed,No,10
20,17-11-2024,4790,212,3,15,361,UPI,Completed,No,2
21,20-02-2023,3776,1026,4,0,495,Net Banking,Completed,No,10
22,30-03-2024,2447,956,1,30,229,Debit Card,Completed,No,9
23,20-01-2023,3791,289,1,0,211,Debit Card,Completed,Yes,8
24,21-05-2022,534,209,5,20,253,UPI,Pending,No,3
25,24-07-2023,402,612,2,25,128,Debit Card,Completed,Yes,5
26,16-05-2024,3664,697,1,5,50,Credit Card,Completed,No,2
27,03-12-2022,130,446,2,10,411,COD,Completed,No,5
28,22-09-2023,2340,191,5,20,259,Net Banking,Completed,No,10
29,29-07-2022,4372,841,4,5,279,Credit Card,Completed,No,2
30,29-10-2022,2960,671,4,20,355,Credit Card,Completed,No,11
31,02-08-2024,1859,597,1,20,396,COD,Completed,No,4
32,08-08-2022,2974,1046,1,0,120,Debit Card,Completed,No,1
33,14-08-2022,4151,273,1,5,410,UPI,Completed,No,9
34,08-05-2023,3650,1155,1,10,309,Net Banking,Completed,No,4
35,03-02-2022,2787,289,5,15,212,Debit Card,Failed,No,11
36,01-08-2024,3098,192,2,30,84,COD,Completed,No,2
37,19-01-2023,3513,266,3,0,89,Debit Card,Failed,No,9
38,01-07-2023,4861,836,5,20,200,Credit Card,Completed,No,9
39,28-02-2022,1221,243,1,25,211,COD,Completed,No,10
40,02-09-2024,642,678,1,15,208,COD,Pending,Yes,3
41,23-12-2024,3315,992,1,20,172,COD,Completed,No,4
42,16-07-2024,724,681,3,0,482,Credit Card,Completed,No,6
43,22-12-2023,4898,212,2,20,205,UPI,Completed,No,6
44,28-06-2023,738,701,1,0,136,Net Banking,Completed,No,4
45,31-08-2022,4854,911,4,20,455,UPI,Completed,No,11
46,22-06-2022,1300,820,1,15,441,Credit Card,Completed,No,6
47,27-12-2023,3481,8,3,25,252,UPI,Completed,No,10
48,02-06-2024,340,1464,3,30,307,UPI,Completed,No,11
49,11-03-2023,153,586,3,25,344,COD,Completed,No,4
50,05-11-2022,1422,78,3,0,94,COD,Completed,Yes,9
51,23-03-2024,3052,892,5,5,202,Debit Card,Completed,No,7
52,25-10-2024,427,699,1,30,64,COD,Completed,No,1
53,01-06-2024,3559,1238,4,15,62,COD,Completed,No,10
54,06-11-2024,1136,1203,5,0,239,Credit Card,Completed,No,8
55,15-11-2023,2373,571,2,0,64,Credit Card,Completed,No,2
56,19-04-2022,3330,1053,5,5,44,Net Banking,Completed,No,4
57,22-06-2024,950,605,1,20,264,Net Banking,Completed,No,1
58,13-07-2023,1374,62,5,25,214,COD,Completed,No,4
59,28-01-2024,957,1159,3,10,397,Debit Card,Completed,No,8
60,20-07-2022,1702,428,5,0,392,Credit Card,Completed,No,4
61,11-04-2022,2942,1158,3,30,197,Debit Card,Completed,No,1
62,23-02-2024,2483,483,5,15,436,COD,Completed,No,8
63,15-05-2024,1304,830,2,20,244,Debit Card,Failed,No,6
64,02-02-2023,371,1092,1,25,173,UPI,Completed,No,6
65,26-08-2023,2981,1486,1,15,446,Net Banking,Completed,No,3
66,23-01-2023,2297,765,5,0,101,Credit Card,Completed,No,8
67,04-04-2024,4799,454,3,5,276,Debit Card,Completed,No,4
68,28-12-2022,2126,17,2,5,439,Net Banking,Completed,No,8
69,20-07-2023,2967,945,3,5,442,UPI,Completed,No,2
70,20-12-2024,4146,152,1,25,281,Credit Card,Pending,No,10
71,07-10-2024,2743,461,3,30,170,UPI,Completed,Yes,11
72,28-11-2024,4022,248,2,25,280,COD,Completed,No,5
73,06-06-2024,2365,1420,2,30,148,Debit Card,Completed,No,10
74,12-08-2022,763,157,3,30,367,COD,Completed,No,7
75,13-04-2022,4063,600,4,20,468,COD,Completed,No,1
76,25-05-2023,1005,1342,2,5,454,UPI,Completed,No,5
77,16-08-2022,3756,98,2,20,297,Debit Card,Completed,No,10
78,26-03-2023,2847,1102,4,30,405,Net Banking,Completed,No,8
79,24-08-2022,350,539,1,0,102,UPI,Completed,No,2
80,19-04-2022,2965,296,5,25,83,Net Banking,Completed,No,7
81,15-03-2022,687,1455,5,25,50,Credit Card,Completed,No,2
