ProductID,ProductName,Category,Brand,CostPrice,UnitPrice,LaunchDate
1,Product_1,Fashion,Puma,17442,19294,03-01-2022
2,Product_2,Beauty,Loreal,5555,6077,27-01-2023
3,Product_3,Beauty,Maybelline,16050,18958,25-04-2021
4,Product_4,Electronics,Apple,3216,4320,21-03-2023
5,Product_5,Beauty,Maybelline,3251,7642,02-06-2020
6,Product_6,Electronics,Sony,7874,11815,29-08-2021
7,Product_7,Home,LG,1941,2958,23-12-2020
8,Product_8,Electronics,OnePlus,9821,12971,18-10-2023
9,Product_9,Home,LG,4097,5075,03-04-2020
10,Product_10,Electronics,OnePlus,4834,6430,04-11-2021
11,Product_11,Home,LG,9091,10052,02-02-2022
12,Product_12,Home,Philips,4030,7513,30-03-2022
13,Product_13,Beauty,Loreal,12939,17056,13-05-2022
14,Product_14,Fashion,Nike,4642,5322,22-11-2020
15,Product_15,Electronics,Dell,19657,23811,11-03-2023
16,Product_16,Beauty,Maybelline,12743,15880,06-06-2023
17,Product_17,Electronics,OnePlus,4581,8738,26-09-2022
18,Product_18,Electronics,Dell,14740,15316,09-05-2020
19,Product_19,Home,Prestige,705,5204,26-03-2023
20,Product_20,Fashion,H&M,11385,15837,07-12-2022
21,Product_21,Electronics,Dell,8445,12592,09-12-2021
22,Product_22,Beauty,Maybelline,18595,19242,24-01-2020
23,Product_23,Fashion,Zara,15677,19938,04-12-2020
24,Product_24,Electronics,OnePlus,16410,19236,08-05-2021
25,Product_25,Home,Prestige,1949,6301,01-04-2021
26,Product_26,Beauty,Nivea,8000,8845,29-07-2022
27,Product_27,Beauty,Dove,14983,15904,17-10-2022
28,Product_28,Beauty,Loreal,4189,8463,31-08-2023
29,Product_29,Electronics,Apple,13519,17096,14-03-2020
30,Product_30,Electronics,OnePlus,3278,5973,07-11-2022
31,Product_31,Fashion,H&M,15249,18241,14-01-2022
32,Product_32,Electronics,OnePlus,7604,11526,10-11-2021
33,Product_33,Beauty,Loreal,15128,16262,18-07-2020
34,Product_34,Fashion,Nike,11485,14594,21-07-2023
35,Product_35,Home,Whirlpool,17404,20666,08-12-2023
36,Product_36,Electronics,Apple,5679,9912,14-10-2020
37,Product_37,Beauty,Lakme,8632,10436,19-01-2021
38,Product_38,Electronics,OnePlus,13174,15140,25-07-2022
39,Product_39,Fashion,H&M,11373,12455,28-04-2022
40,Product_40,Electronics,Lenovo,19594,20803,11-07-2022
41,Product_41,Beauty,Dove,16821,18123,18-10-2022
42,Product_42,Electronics,HP,1891,6623,05-06-2022
43,Product_43,Beauty,Dove,6106,11045,21-12-2020
44,Product_44,Fashion,Nike,12994,15830,29-10-2022
45,Product_45,Beauty,Nivea,8434,10875,25-03-2022
46,Product_46,Home,Prestige,15138,16430,09-10-2020
47,Product_47,Beauty,Dove,17086,19734,07-12-2023
48,Product_48,Home,Whirlpool,7421,9266,05-03-2021
49,Product_49,Home,Prestige,4647,6303,28-10-2022
50,Product_50,Home,Ikea,11842,16648,10-09-2022
51,Product_51,Beauty,Dove,9669,13329,27-01-2020
52,Product_52,Electronics,Apple,12780,14170,18-04-2020
53,Product_53,Electronics,Samsung,9048,10566,09-08-2021
54,Product_54,Home,Philips,2332,4949,21-02-2021
55,Product_55,Electronics,Sony,15130,16169,15-06-2023
56,Product_56,Fashion,H&M,18691,22076,01-05-2021
57,Product_57,Home,Ikea,12803,16177,03-05-2022
58,Product_58,Home,Whirlpool,2062,2368,29-05-2021
59,Product_59,Fashion,Zara,14818,16865,21-07-2023
60,Product_60,Home,Whirlpool,18211,20020,24-01-2024
61,Product_61,Fashion,Puma,15006,16659,30-10-2023
62,Product_62,Electronics,Samsung,5994,10403,01-09-2020
63,Product_63,Beauty,Lakme,14341,16827,13-02-2023
64,Product_64,Home,Philips,5573,10557,06-06-2021
65,Product_65,Electronics,Sony,15580,17048,22-03-2020
66,Product_66,Fashion,Puma,19858,20474,04-07-2023
67,Product_67,Home,LG,19065,23771,03-01-2022
68,Product_68,Electronics,OnePlus,10715,15219,26-03-2021
69,Product_69,Fashion,Zara,2534,6872,22-11-2020
70,Product_70,Beauty,Dove,17897,21401,07-07-2020
71,Product_71,Home,Philips,7291,10209,09-11-2021
72,Product_72,Home,Prestige,7458,12003,30-08-2022
73,Product_73,Electronics,Apple,11637,15487,07-05-2021
74,Product_74,Fashion,Nike,10816,14140,20-08-2020
75,Product_75,Beauty,Loreal,18002,20518,20-02-2020
76,Product_76,Home,Whirlpool,16970,20820,23-09-2022
77,Product_77,Electronics,Sony,6608,9432,18-11-2022
78,Product_78,Electronics,Apple,5785,10392,28-12-2022
79,Product_79,Electronics,Lenovo,2445,4371,04-10-2023
80,Product_80,Fashion,H&M,14200,15251,25-02-2021
81,Product_81,Beauty,Lakme,5338,5732,29-07-2022
82,Product_82,Home,Ikea,3167,3967,21-04-2020
83,Product_83,Fashion,Puma,18587,19364,23-03-2023
84,Product_84,Fashion,Puma,13657,17035,12-07-2022
85,Product_85,Beauty,Nivea,10667,11005,08-03-2022
86,Product_86,Electronics,HP,493,1211,14-04-2023
87,Product_87,Electronics,Lenovo,2678,5808,26-10-2022
88,Product_88,Electronics,Sony,10174,11082,30-07-2021
89,Product_89,Beauty,Nivea,13247,13699,28-08-2022
90,Product_90,Fashion,Zara,7504,8821,11-03-2022
91,Product_91,Home,Philips,10066,13322,23-01-2020
92,Product_92,Fashion,Nike,1668,1909,18-03-2023
93,Product_93,Beauty,Dove,18241,19138,16-09-2021
94,Product_94,Fashion,H&M,11567,13501,25-04-2022
95,Product_95,Fashion,Adidas,6329,8337,17-06-2023
96,Product_96,Home,Philips,4055,5740,06-10-2023
97,Product_97,Electronics,OnePlus,18284,22262,13-08-2023
98,Product_98,Electronics,Sony,2507,4760,20-07-2020
99,Product_99,Fashion,H&M,19324,23515,08-11-2021
100,Product_100,Home,Philips,7985,9004,06-08-2021
101,Product_101,Electronics,Samsung,10713,14893,11-07-2022
102,Product_102,Home,Whirlpool,10316,15301,08-11-2020
103,Product_103,Home,Prestige,14334,15915,10-01-2020
104,Product_104,Home,Philips,7558,11330,20-07-2021
105,Product_105,Home,Philips,11164,15295,05-08-2022
106,Product_106,Beauty,Loreal,10309,14498,03-02-2023
107,Product_107,Electronics,Samsung,2986,5484,13-10-2020
108,Product_108,Fashion,Puma,2805,3622,08-02-2020
109,Product_109,Electronics,OnePlus,19367,24309,09-04-2022
110,Product_110,Fashion,Nike,18374,20708,18-01-2023
111,Product_111,Beauty,Maybelline,12287,15702,02-04-2021
112,Product_112,Home,Philips,15527,19832,11-11-2022
113,Product_113,Electronics,Dell,12223,16536,22-01-2020
114,Product_114,Fashion,Zara,5734,10145,14-10-2020
115,Product_115,Beauty,Maybelline,6170,11009,04-03-2023
116,Product_116,Fashion,H&M,16143,19282,23-03-2020
117,Product_117,Fashion,Levis,7893,8607,25-06-2021
118,Product_118,Home,Philips,1702,3595,26-11-2022
119,Product_119,Home,LG,15690,19614,05-04-2020
120,Product_120,Electronics,Lenovo,10919,11964,12-12-2023
121,Product_121,Home,Prestige,19260,23919,13-03-2023
122,Product_122,Fashion,Levis,12703,15895,18-04-2023
123,Product_123,Electronics,HP,8543,11825,01-04-2021
124,Product_124,Beauty,Loreal,11606,15794,14-09-2022
125,Product_125,Electronics,HP,4853,8656,05-12-2020
126,Product_126,Fashion,Nike,17160,19660,09-03-2021
127,Product_127,Fashion,Adidas,5456,8623,17-05-2023
128,Product_128,Electronics,Lenovo,7847,11443,07-11-2021
129,Product_129,Electronics,Dell,15989,20113,07-03-2021
130,Product_130,Fashion,H&M,13764,14147,14-05-2021
131,Product_131,Electronics,Samsung,19092,20611,02-10-2020
132,Product_132,Electronics,HP,5112,5770,06-12-2020
133,Product_133,Home,Philips,17229,20750,12-05-2023
134,Product_134,Electronics,Lenovo,9588,10490,19-03-2021
135,Product_135,Beauty,Dove,15747,19892,15-12-2020
136,Product_136,Fashion,Levis,19988,21357,08-04-2023
137,Product_137,Fashion,Zara,17038,19404,09-12-2020
138,Product_138,Home,LG,19847,20610,15-04-2021
139,Product_139,Beauty,Nivea,4632,5721,03-02-2020
140,Product_140,Fashion,Zara,16826,20464,02-11-2020
141,Product_141,Electronics,Samsung,15893,16412,24-12-2022
142,Product_142,Electronics,Apple,16102,17369,20-05-2023
143,Product_143,Electronics,OnePlus,14439,18915,11-05-2022
144,Product_144,Home,Ikea,17661,21375,14-04-2021
145,Product_145,Beauty,Nivea,11785,16704,19-07-2020
146,Product_146,Beauty,Maybelline,8640,12748,21-04-2021
147,Product_147,Electronics,Sony,19904,24558,16-04-2022
148,Product_148,Home,Philips,479,737,29-03-2023
149,Product_149,Electronics,HP,535,3807,02-09-2023
150,Product_150,Fashion,H&M,10651,14200,11-01-2022
151,Product_151,Electronics,Samsung,14261,19256,03-06-2021
152,Product_152,Home,Whirlpool,14179,19004,18-01-2022
153,Product_153,Home,LG,6974,10559,04-02-2023
154,Product_154,Beauty,Maybelline,12431,17211,10-02-2023
155,Product_155,Beauty,Loreal,10348,15280,06-12-2021
156,Product_156,Beauty,Maybelline,4202,6284,03-07-2022
157,Product_157,Fashion,Nike,7327,11691,31-03-2022
158,Product_158,Home,Whirlpool,2005,3521,07-03-2022
159,Product_159,Electronics,OnePlus,3284,4674,23-08-2022
160,Product_160,Beauty,Lakme,2399,4754,30-03-2021
161,Product_161,Home,Ikea,1537,4885,31-03-2022
162,Product_162,Home,Whirlpool,2182,3817,04-08-2023
163,Product_163,Beauty,Nivea,650,2502,07-09-2023
164,Product_164,Home,Philips,1401,5783,22-11-2022
165,Product_165,Fashion,Zara,5853,6348,06-01-2022
166,Product_166,Fashion,H&M,309,1798,26-06-2020
167,Product_167,Home,LG,11871,15308,10-04-2022
168,Product_168,Fashion,Zara,803,1565,03-07-2020
169,Product_169,Home,Whirlpool,19401,22452,12-12-2021
170,Product_170,Home,Philips,6674,10599,07-04-2022
171,Product_171,Electronics,Sony,6035,9570,02-11-2022
172,Product_172,Electronics,HP,2671,6992,25-08-2021
173,Product_173,Home,Ikea,17119,19430,06-01-2023
174,Product_174,Home,LG,12656,17469,17-09-2022
175,Product_175,Fashion,Puma,15335,19309,16-04-2023
176,Product_176,Electronics,Dell,4109,6421,18-05-2020
177,Product_177,Beauty,Maybelline,7834,10620,24-04-2022
178,Product_178,Home,Whirlpool,17852,18131,06-12-2023
179,Product_179,Home,Philips,9713,10674,28-03-2022
180,Product_180,Home,Ikea,18471,20133,02-09-2022
181,Product_181,Home,Prestige,7461,12360,05-07-2021
182,Product_182,Fashion,H&M,6531,10818,12-02-2021
183,Product_183,Fashion,H&M,8231,10605,27-02-2021
184,Product_184,Fashion,Adidas,8482,11598,15-11-2020
185,Product_185,Electronics,Apple,2871,7106,11-06-2023
186,Product_186,Electronics,OnePlus,18043,18589,14-09-2022
187,Product_187,Home,Whirlpool,10635,14868,22-03-2023
188,Product_188,Home,LG,6292,10679,27-07-2021
189,Product_189,Beauty,Maybelline,19196,20446,20-04-2020
190,Product_190,Beauty,Nivea,18019,18485,26-10-2022
191,Product_191,Home,LG,6027,9972,03-09-2020
192,Product_192,Beauty,Loreal,575,871,12-10-2023
193,Product_193,Fashion,Levis,19338,20363,28-10-2021
194,Product_194,Home,Whirlpool,8809,10542,28-01-2023
195,Product_195,Home,Philips,9127,13188,09-06-2023
196,Product_196,Home,Prestige,6326,10611,18-05-2022
197,Product_197,Fashion,Levis,12499,15689,31-03-2022
198,Product_198,Home,LG,6194,11074,25-09-2020
199,Product_199,Fashion,Nike,9145,11276,11-02-2023
200,Product_200,Beauty,Nivea,6724,8118,02-11-2020
201,Product_201,Beauty,Lakme,6087,9740,20-10-2022
202,Product_202,Fashion,H&M,17241,21815,15-01-2024
203,Product_203,Home,LG,10131,12386,25-02-2023
204,Product_204,Electronics,Dell,3543,5081,02-05-2020
205,Product_205,Fashion,Puma,15915,16903,10-07-2022
206,Product_206,Home,Prestige,12128,15279,21-02-2023
207,Product_207,Home,Prestige,949,4522,05-09-2020
208,Product_208,Home,Whirlpool,6819,11744,25-03-2023
209,Product_209,Fashion,Puma,11936,14799,10-10-2023
210,Product_210,Beauty,Nivea,2869,6190,10-06-2023
211,Product_211,Home,LG,5046,6618,04-08-2023
212,Product_212,Home,LG,19031,22546,26-05-2020
213,Product_213,Electronics,Samsung,11559,13628,04-10-2021
214,Product_214,Home,Prestige,9064,12503,09-07-2021
215,Product_215,Beauty,Loreal,19532,23999,11-07-2022
216,Product_216,Beauty,Maybelline,6325,6714,13-09-2020
217,Product_217,Fashion,H&M,8545,9400,07-03-2021
218,Product_218,Fashion,Levis,3675,4657,10-05-2020
219,Product_219,Beauty,Dove,2063,2478,24-03-2022
220,Product_220,Electronics,Apple,8900,10372,21-06-2020
221,Product_221,Beauty,Loreal,7815,10041,04-08-2021
222,Product_222,Beauty,Maybelline,4601,9116,15-12-2020
223,Product_223,Electronics,Apple,11992,14856,02-09-2022
224,Product_224,Beauty,Dove,9226,13919,30-06-2022
225,Product_225,Fashion,H&M,17971,19621,25-04-2023
226,Product_226,Beauty,Dove,14553,19041,03-08-2023
227,Product_227,Home,Prestige,16082,20702,10-04-2021
228,Product_228,Electronics,Dell,10388,13584,24-04-2022
229,Product_229,Home,Philips,10247,10533,01-01-2020
230,Product_230,Fashion,Puma,9696,13739,31-12-2022
231,Product_231,Electronics,Lenovo,16419,20527,05-09-2021
232,Product_232,Electronics,OnePlus,14404,17003,07-05-2023
233,Product_233,Fashion,Nike,18263,21523,21-01-2021
234,Product_234,Beauty,Dove,14623,18056,26-05-2021
235,Product_235,Fashion,H&M,13070,16369,27-03-2021
236,Product_236,Home,Ikea,14135,16297,24-11-2022
237,Product_237,Home,Prestige,17730,20132,25-04-2022
238,Product_238,Fashion,Nike,6277,7596,16-08-2021
239,Product_239,Electronics,Lenovo,15220,19129,11-07-2021
240,Product_240,Beauty,Maybelline,10806,11164,07-11-2020
241,Product_241,Electronics,HP,1025,2748,28-07-2020
242,Product_242,Home,Prestige,4397,8188,29-01-2024
243,Product_243,Electronics,Samsung,3255,4689,31-01-2020
244,Product_244,Beauty,Maybelline,11503,15145,30-09-2021
245,Product_245,Beauty,Loreal,15494,15953,07-11-2021
246,Product_246,Electronics,OnePlus,5087,5746,29-06-2021
247,Product_247,Beauty,Lakme,18099,22150,06-01-2021
248,Product_248,Fashion,Puma,12803,13106,06-09-2020
249,Product_249,Fashion,Levis,14814,17038,09-03-2020
250,Product_250,Fashion,Levis,3378,7847,25-09-2023
251,Product_251,Fashion,Levis,13050,15806,23-10-2021
252,Product_252,Fashion,H&M,1682,6384,02-12-2022
253,Product_253,Electronics,Sony,16068,18715,10-02-2021
254,Product_254,Home,Ikea,7436,8561,28-04-2021
255,Product_255,Beauty,Loreal,793,2364,19-07-2021
256,Product_256,Electronics,Dell,8265,8538,27-03-2020
257,Product_257,Beauty,Dove,5378,8620,02-07-2020
258,Product_258,Fashion,Adidas,16681,17629,05-11-2023
259,Product_259,Home,Ikea,2258,5370,13-08-2023
260,Product_260,Fashion,H&M,17875,18954,14-09-2020
261,Product_261,Beauty,Maybelline,10678,15452,13-08-2023
262,Product_262,Home,LG,6623,6997,12-11-2023
263,Product_263,Beauty,Loreal,4714,6967,21-03-2020
264,Product_264,Beauty,Nivea,18618,21232,16-01-2023
265,Product_265,Beauty,Maybelline,18869,20597,18-01-2023
266,Product_266,Home,Prestige,15648,18103,11-05-2023
267,Product_267,Fashion,Nike,17704,19173,09-07-2022
268,Product_268,Home,Prestige,18047,21254,18-07-2022
269,Product_269,Electronics,OnePlus,16879,20184,14-01-2021
270,Product_270,Electronics,HP,12230,14386,18-10-2021
271,Product_271,Electronics,Lenovo,17960,21334,23-01-2021
272,Product_272,Beauty,Dove,5350,7869,22-10-2021
273,Product_273,Beauty,Loreal,3919,4907,07-12-2022
274,Product_274,Electronics,Apple,4552,6215,05-03-2020
275,Product_275,Fashion,Nike,16204,17973,21-07-2020
276,Product_276,Electronics,HP,13033,17246,12-12-2022
277,Product_277,Home,Ikea,12304,14312,25-05-2023
278,Product_278,Electronics,Apple,7139,11364,12-06-2020
279,Product_279,Beauty,Lakme,12126,16897,01-05-2022
280,Product_280,Home,Ikea,9010,13543,24-03-2020
281,Product_281,Electronics,OnePlus,10258,11096,18-03-2021
282,Product_282,Electronics,Apple,7869,12424,28-02-2022
283,Product_283,Fashion,Adidas,17542,19779,13-03-2023
284,Product_284,Fashion,Zara,18589,22190,04-08-2020
285,Product_285,Home,LG,14294,15346,07-12-2020
286,Product_286,Fashion,Zara,13458,17792,22-11-2021
287,Product_287,Fashion,Zara,19958,23787,22-12-2021
288,Product_288,Home,Whirlpool,10938,14183,24-04-2022
289,Product_289,Beauty,Loreal,8187,13000,22-01-2023
290,Product_290,Fashion,Levis,18330,20611,07-01-2022
291,Product_291,Beauty,Nivea,13311,13512,27-01-2024
292,Product_292,Electronics,Sony,19821,20154,26-11-2022
293,Product_293,Fashion,Puma,515,3175,30-03-2021
294,Product_294,Fashion,Puma,1011,3471,07-02-2023
295,Product_295,Fashion,Nike,1536,5507,29-12-2021
296,Product_296,Fashion,Adidas,8983,12190,07-04-2023
297,Product_297,Fashion,Adidas,8696,11356,07-07-2020
